Temp [C],Umid. Relativa,Vazão [m3/min],Pres. Total [Pa],Pres. Estatica [Pa],Pres. Dinâmica [Pa],Pres. Placa o. [Pa],Teste
24.434,65.327,0.938,197.506,178.414,19.092,323.681,3
24.429,65.198,0.936,200.423,181.101,19.322,385.937,3
24.438,65.082,0.934,203.81,184.082,19.728,350.537,3
24.463,64.992,0.934,207.767,187.414,20.353,360.302,3
24.5,64.94,0.936,212.702,191.484,21.218,340.771,3
24.541,64.921,0.938,219.017,196.745,22.272,298.047,3
24.584,64.906,0.941,227.107,203.675,23.432,289.502,3
24.624,64.877,0.944,236.676,212.056,24.62,269.97,3
24.661,64.835,0.946,246.951,221.113,25.838,328.564,3
24.697,64.789,0.947,257.722,230.647,27.075,332.226,3
24.732,64.74,0.947,268.803,240.514,28.289,307.812,3
24.762,64.687,0.947,279.524,250.071,29.453,266.308,3
24.778,64.626,0.946,289.601,259.135,30.466,339.55,3
24.77,64.553,0.944,298.568,267.332,31.236,362.744,3
24.739,64.473,0.942,306.055,274.319,31.736,283.398,3
24.686,64.407,0.94,311.853,279.909,31.944,332.226,3
24.617,64.371,0.938,315.685,283.869,31.816,300.488,3
24.544,64.368,0.935,317.45,286.138,31.312,276.074,3
24.47,64.397,0.932,317.109,286.642,30.467,180.859,3
24.401,64.461,0.929,314.973,285.649,29.324,374.951,3
24.343,64.558,0.927,311.155,283.334,27.821,370.068,3
24.298,64.691,0.925,305.747,279.923,25.824,254.101,3
24.264,64.85,0.923,299.346,275.909,23.437,344.433,3
24.241,65.014,0.922,292.271,271.452,20.819,385.937,3
24.233,65.162,0.921,284.511,266.546,17.965,326.123,3
24.237,65.281,0.921,276.085,261.236,14.849,273.633,3
24.249,65.378,0.921,267.252,255.764,11.488,284.619,3
24.267,65.455,0.922,258.389,250.372,8.017,334.668,3
24.292,65.502,0.924,249.713,245.114,4.599,272.412,3
24.316,65.516,0.926,241.272,239.911,1.361,332.226,3
24.333,65.498,0.928,232.843,234.433,-1.59,409.131,3
24.338,65.452,0.931,224.533,228.658,-4.125,345.654,3
24.332,65.405,0.935,216.848,222.956,-6.108,300.488,3
24.313,65.382,0.939,209.86,217.263,-7.403,332.226,3
24.28,65.385,0.942,203.3,211.224,-7.924,355.42,3
24.236,65.405,0.945,197.311,205.047,-7.736,338.33,3
24.183,65.442,0.948,192.232,199.162,-6.93,335.888,3
24.125,65.501,0.951,188.192,193.619,-5.427,378.613,3
24.072,65.572,0.954,185.472,188.642,-3.17,322.461,3
24.037,65.614,0.958,184.434,184.707,-0.273,273.633,3
24.025,65.59,0.961,185.194,182.054,3.14,306.591,3
24.036,65.491,0.963,187.926,180.987,6.939,339.55,3
24.067,65.317,0.965,192.998,182.053,10.945,285.84,3
24.114,65.089,0.964,200.133,185.213,14.92,287.06,3
24.173,64.837,0.963,208.436,189.794,18.642,356.64,3
24.238,64.587,0.959,217.149,195.184,21.965,295.605,3
24.307,64.358,0.955,225.674,200.857,24.817,268.75,3
24.371,64.175,0.949,233.598,206.459,27.139,239.453,3
24.423,64.061,0.943,240.782,211.934,28.848,371.289,3
24.459,64.024,0.938,247.07,217.185,29.885,283.398,3
24.479,64.062,0.932,252.49,222.257,30.233,299.267,3
24.485,64.169,0.927,257.158,227.263,29.895,276.074,3
24.474,64.312,0.92,260.785,231.844,28.941,42.92,3
24.452,64.461,0.912,263.435,235.992,27.443,296.826,3
24.027,64.425,0.945,293.074,279.961,13.113,320.019,3
24.008,64.492,0.956,297.257,280.479,16.778,310.254,3
23.943,64.57,0.965,301.369,280.94,20.429,300.488,3
23.847,64.669,0.972,305.085,281.184,23.901,374.951,3
23.741,64.778,0.977,308.252,281.261,26.991,315.136,3
23.639,64.903,0.979,311.039,281.422,29.617,316.357,3
23.555,65.059,0.978,313.583,281.809,31.774,91.748,3
23.5,65.247,0.971,315.543,282.102,33.441,335.888,3
23.489,65.448,0.96,316.572,281.987,34.585,241.894,3
24.624,64.855,1.1,130.333,103.046,27.287,444.531,4
24.653,64.914,1.092,142.709,117.235,25.474,459.179,4
24.671,64.967,1.084,156.284,132.76,23.524,411.572,4
24.677,65.009,1.076,170.79,149.268,21.522,406.689,4
24.672,65.035,1.069,186.179,166.633,19.546,371.289,4
24.66,65.047,1.063,202.403,184.757,17.646,462.841,4
24.647,65.037,1.06,219.334,203.485,15.849,371.289,4
24.633,64.993,1.058,236.705,222.522,14.183,412.793,4
24.624,64.914,1.058,254.337,241.645,12.692,429.882,4
24.624,64.797,1.061,271.678,260.272,11.406,398.144,4
24.637,64.649,1.063,288.249,277.885,10.364,412.793,4
24.661,64.474,1.066,303.855,294.248,9.607,451.855,4
24.685,64.282,1.068,318.221,309.117,9.104,318.799,4
24.7,64.094,1.07,331.113,322.272,8.841,450.634,4
24.702,63.934,1.07,342.216,333.361,8.855,426.22,4
24.687,63.816,1.069,351.16,342.012,9.148,304.15,4
24.654,63.754,1.068,357.641,347.945,9.696,500.683,4
24.612,63.754,1.066,361.514,351.102,10.412,493.359,4
24.573,63.809,1.066,362.909,351.69,11.219,444.531,4
24.54,63.913,1.066,361.859,349.788,12.071,328.564,4
24.511,64.038,1.067,358.605,345.661,12.944,379.834,4
24.486,64.161,1.068,353.483,339.634,13.849,449.414,4
24.463,64.263,1.069,346.694,331.92,14.774,410.351,4
24.444,64.328,1.069,338.219,322.532,15.687,411.572,4
24.426,64.356,1.07,328.313,311.709,16.604,439.648,4
24.411,64.351,1.071,317.469,299.895,17.574,443.31,4
24.399,64.335,1.072,306.238,287.686,18.552,428.662,4
24.386,64.332,1.074,295.139,275.708,19.431,510.449,4
24.368,64.346,1.077,284.706,264.495,20.211,448.193,4
24.342,64.387,1.08,275.497,254.531,20.966,417.675,4
24.311,64.46,1.084,267.868,246.182,21.686,468.945,4
24.276,64.57,1.088,262.392,239.996,22.396,439.648,4
24.246,64.713,1.092,259.242,236.115,23.127,388.379,4
24.228,64.872,1.096,258.347,234.505,23.842,443.31,4
24.225,65.017,1.099,259.504,234.974,24.53,379.834,4
24.232,65.116,1.102,262.101,236.86,25.241,400.586,4
24.248,65.137,1.103,265.578,239.528,26.05,393.261,4
24.261,65.063,1.103,269.917,242.931,26.986,481.152,4
24.268,64.891,1.102,275.517,247.469,28.048,457.959,4
24.272,64.639,1.098,282.275,253.056,29.219,152.783,4
24.273,64.347,1.092,289.968,259.487,30.481,438.427,4
24.272,64.059,1.085,298.499,266.703,31.796,455.517,4
24.268,63.807,1.077,307.567,274.425,33.142,501.904,4
24.265,63.611,1.07,316.733,282.235,34.498,420.117,4
24.266,63.471,1.063,325.884,290.049,35.835,379.834,4
24.266,63.398,1.059,334.857,297.71,37.147,456.738,4
24.26,63.365,1.056,342.841,304.359,38.482,479.931,4
24.245,63.364,1.056,349.134,309.254,39.88,445.752,4
24.223,63.414,1.059,353.428,312.08,41.348,475.049,4
24.194,63.506,1.064,355.813,312.87,42.943,477.49,4
24.159,63.64,1.07,356.221,311.52,44.701,518.994,4
24.124,63.802,1.079,354.795,308.181,46.614,462.841,4
24.091,63.975,1.089,351.993,303.406,48.587,372.509,4
24.06,64.14,1.098,347.789,297.293,50.496,406.689,4
24.03,64.281,1.106,341.832,289.756,52.076,371.289,4
24.009,64.391,1.112,334.225,281.139,53.086,376.172,4
24.005,64.462,1.116,325.257,271.792,53.465,439.648,4
24.023,64.501,1.116,315.239,262.04,53.199,457.959,4
24.064,64.523,1.113,304.922,252.617,52.305,423.779,4
24.121,64.531,1.108,295.151,244.331,50.82,372.509,4
24.192,64.532,1.103,286.086,237.311,48.775,421.338,4
24.272,64.53,1.097,277.55,231.426,46.124,483.593,4
24.353,64.52,1.091,269.937,227.038,42.899,404.248,4
24.419,64.512,1.086,263.724,224.463,39.261,459.179,4
24.463,64.509,1.083,259.232,223.882,35.35,501.904,4
24.489,64.51,1.081,256.947,225.726,31.221,403.027,4
24.497,64.538,1.082,256.782,229.841,26.941,539.746,4
24.491,64.593,1.085,258.32,235.72,22.6,471.386,4
24.479,64.656,1.091,261.418,243.166,18.252,422.558,4
24.469,64.724,1.097,265.697,251.798,13.899,464.062,4
24.465,64.789,1.104,270.596,260.966,9.63,467.724,4
24.461,64.856,1.111,275.714,270.106,5.608,426.22,4
24.456,64.929,1.116,280.795,278.785,2.01,437.207,4
24.457,65.002,1.12,286.205,287.207,-1.002,384.716,4
24.47,65.074,1.123,292.595,295.931,-3.336,418.896,4
24.49,65.144,1.123,300.189,305.141,-4.952,479.931,4
24.51,65.212,1.123,308.769,314.652,-5.883,438.427,4
24.524,65.28,1.121,317.797,324.014,-6.217,392.041,4
24.526,65.34,1.118,326.666,332.626,-5.96,565.381,4
24.513,65.38,1.115,334.976,340.067,-5.091,389.599,4
24.484,65.395,1.112,342.369,346.021,-3.652,417.675,4
24.458,65.388,1.11,348.347,350.039,-1.692,495.8,4
24.45,65.363,1.108,352.656,351.942,0.714,517.773,4
24.462,65.322,1.108,355.685,352.187,3.498,442.09,4
24.497,65.267,1.108,357.719,351.103,6.616,379.834,4
24.557,65.201,1.11,358.711,348.737,9.974,420.117,4
24.636,65.124,1.111,359.281,345.855,13.426,338.33,4
24.728,65.037,1.112,359.773,342.951,16.822,401.806,4
24.825,64.948,1.111,359.886,339.895,19.991,412.793,4
24.924,64.859,1.109,359.584,336.843,22.741,368.847,4
25.022,64.77,1.104,359.317,334.428,24.889,422.558,4
25.111,64.674,1.099,359.304,333.02,26.284,432.324,4
25.182,64.573,1.092,359.521,332.622,26.899,484.814,4
25.223,64.494,1.086,359.992,333.252,26.74,418.896,4
25.225,64.421,1.08,361.104,335.108,25.996,385.937,4
25.189,64.314,1.075,363.052,338.147,24.905,370.068,4
25.12,64.176,1.072,365.637,342.099,23.538,478.711,4
25.03,64.003,1.07,368.567,346.592,21.975,455.517,4
24.934,63.796,1.07,371.149,350.881,20.268,411.572,4
24.842,63.583,1.071,373.029,354.594,18.435,495.8,4
24.764,63.377,1.074,374.168,357.704,16.464,371.289,4
24.692,63.187,1.077,374.622,360.165,14.457,117.383,4
24.621,63.035,1.077,374.173,361.664,12.509,366.406,4
24.556,62.939,1.074,372.524,361.905,10.619,255.322,4
24.492,62.913,1.067,369.568,360.748,8.82,412.793,4
24.423,62.962,1.056,364.932,357.753,7.179,454.297,4
24.352,63.087,1.045,358.777,352.994,5.783,450.634,4
24.28,63.28,1.033,351.872,347.175,4.697,394.482,4
24.207,63.522,1.023,344.703,340.773,3.93,434.765,4
24.129,63.789,1.015,337.604,334.086,3.518,427.441,4
24.041,64.058,1.01,330.868,327.425,3.443,399.365,4
23.954,64.304,1.009,324.516,320.849,3.667,464.062,4
23.877,64.502,1.012,318.74,314.554,4.186,449.414,4
23.82,64.618,1.019,313.676,308.736,4.94,435.986,4
23.788,64.661,1.029,308.97,303.056,5.914,446.972,4
23.786,64.672,1.042,304.644,297.516,7.128,470.166,4
23.821,64.653,1.056,301.367,292.749,8.618,416.455,4
23.895,64.613,1.069,299.661,289.267,10.394,310.254,4
23.996,64.572,1.081,299.776,287.411,12.365,421.338,4
24.109,64.523,1.089,302.016,287.622,14.394,511.67,4
24.224,64.464,1.093,306.874,290.501,16.373,356.64,4
24.326,64.395,1.094,314.906,296.654,18.252,393.261,4
24.411,64.324,1.092,326.231,306.261,19.97,395.703,4
24.478,64.253,1.089,340.089,318.735,21.354,449.414,4
24.53,64.186,1.086,355.804,333.536,22.268,410.351,4
24.568,64.142,1.083,372.962,350.258,22.704,374.951,4
24.598,64.137,1.079,390.59,367.947,22.643,453.076,4
24.621,64.184,1.075,407.976,385.918,22.058,265.088,4
24.636,64.302,1.071,425.05,404.062,20.988,446.972,4
24.642,64.495,1.067,441.572,422.036,19.536,409.131,4
24.637,64.743,1.063,457.036,439.217,17.819,443.31,4
24.623,65.001,1.061,470.826,454.832,15.994,435.986,4
24.602,65.207,1.059,482.354,468.177,14.177,457.959,4
24.577,65.317,1.059,491.184,478.762,12.422,420.117,4
24.548,65.318,1.06,496.854,486.084,10.77,367.627,4
24.512,65.206,1.061,499.099,489.821,9.278,426.22,4
24.46,65.029,1.062,498.32,490.279,8.041,381.054,4
24.393,64.84,1.064,494.988,487.864,7.124,385.937,4
24.321,64.653,1.066,489.26,482.681,6.579,435.986,4
24.252,64.483,1.068,481.132,474.643,6.489,440.869,4
24.192,64.352,1.069,470.786,463.901,6.885,360.302,4
24.131,64.267,1.07,458.61,450.902,7.708,383.496,4
24.061,64.229,1.07,445.062,436.147,8.915,416.455,4
23.983,64.232,1.07,430.887,420.428,10.459,349.316,4
23.903,64.278,1.068,416.329,404.077,12.252,435.986,4
23.83,64.355,1.065,401.418,387.18,14.238,370.068,4
23.77,64.435,1.062,386.144,369.826,16.318,366.406,4
23.725,64.489,1.058,370.598,352.183,18.415,418.896,4
23.701,64.479,1.055,355.128,334.611,20.517,404.248,4
23.699,64.392,1.052,340.205,317.627,22.578,392.041,4
23.725,64.24,1.05,326.431,301.882,24.549,527.539,4
23.777,64.046,1.05,314.26,287.916,26.344,423.779,4
23.844,63.856,1.052,304.052,276.187,27.865,470.166,4
23.919,63.714,1.054,295.994,266.912,29.082,420.117,4
23.999,63.63,1.058,290.396,260.468,29.928,356.64,4
24.081,63.608,1.062,287.397,257.102,30.295,321.24,4
24.183,63.615,1.066,286.627,256.491,30.136,465.283,4
24.311,63.603,1.07,288.031,258.589,29.442,410.351,4
24.448,63.565,1.073,291.478,263.241,28.237,390.82,4
24.581,63.507,1.074,296.34,269.704,26.636,337.109,4
24.698,63.438,1.074,302.232,277.464,24.768,454.297,4
24.807,63.372,1.073,308.997,286.262,22.735,393.261,4
24.907,63.321,1.07,316.959,296.348,20.611,283.398,4
24.988,63.297,1.066,326.74,308.218,18.522,412.793,4
25.038,63.303,1.06,338.258,321.625,16.633,217.48,4
25.046,63.334,1.052,351.426,336.404,15.022,410.351,4
25.001,63.381,1.043,366.277,352.488,13.789,433.545,4
24.904,63.445,1.035,382.702,369.674,13.028,479.931,4
24.763,63.522,1.029,400.59,387.822,12.768,466.504,4
24.594,63.595,1.025,419.338,406.331,13.007,324.902,4
24.414,63.645,1.023,438.278,424.588,13.69,351.758,4
24.239,63.667,1.023,456.948,442.199,14.749,443.31,4
24.085,63.672,1.024,474.977,458.807,16.17,462.841,4
23.97,63.658,1.027,492.09,474.114,17.976,321.24,4
23.902,63.624,1.031,507.829,487.675,20.154,540.966,4
23.883,63.576,1.036,522.032,499.419,22.613,454.297,4
23.894,63.517,1.044,534.177,508.945,25.232,439.648,4
23.913,63.462,1.052,543.793,515.845,27.948,384.716,4
23.934,63.429,1.06,550.909,520.164,30.745,405.468,4
23.958,63.43,1.067,555.431,521.872,33.559,443.31,4
23.984,63.48,1.074,557.443,521.124,36.319,439.648,4
24.006,63.577,1.079,557.114,518.144,38.97,526.318,4
24.037,63.699,1.084,554.398,512.936,41.462,405.468,4
24.09,63.838,1.088,549.334,505.553,43.781,468.945,4
24.159,63.99,1.091,542.473,496.523,45.95,407.91,4
24.234,64.144,1.095,534.321,486.371,47.95,473.828,4
24.317,64.277,1.099,525.521,475.748,49.773,344.433,4
24.411,64.367,1.102,516.416,464.998,51.418,512.89,4
24.508,64.408,1.104,507.018,454.171,52.847,412.793,4
24.601,64.408,1.105,497.389,443.354,54.035,487.256,4
24.677,64.376,1.106,487.721,432.783,54.938,411.572,4
24.728,64.318,1.106,478.591,423.041,55.55,492.138,4
24.75,64.224,1.107,470.388,414.503,55.885,439.648,4
24.741,64.091,1.108,463.26,407.264,55.996,495.8,4
24.702,63.93,1.11,457.35,401.367,55.983,482.373,4
24.638,63.758,1.112,452.933,397.007,55.926,464.062,4
24.553,63.601,1.114,450.308,394.419,55.889,425,4
24.452,63.491,1.117,449.528,393.623,55.905,482.373,4
24.348,63.444,1.12,450.851,394.842,56.009,473.828,4
24.25,63.453,1.123,454.549,398.333,56.216,434.765,4
24.169,63.499,1.126,460.516,404.036,56.48,383.496,4
24.11,63.573,1.128,468.24,411.538,56.702,450.634,4
24.061,63.677,1.129,476.888,420.001,56.887,411.572,4
24.008,63.801,1.129,485.902,428.819,57.083,450.634,4
23.959,63.919,1.127,494.877,437.609,57.268,425,4
23.922,64.007,1.124,503.35,445.933,57.417,451.855,4
23.901,64.076,1.12,511.068,453.569,57.499,490.918,4
23.893,64.135,1.117,517.892,460.4,57.492,426.22,4
23.902,64.172,1.113,523.711,466.347,57.364,356.64,4
23.93,64.19,1.11,528.694,471.604,57.09,418.896,4
23.978,64.179,1.106,532.913,476.253,56.66,390.82,4
24.053,64.138,1.102,536.304,480.276,56.028,415.234,4
24.16,64.07,1.098,538.777,483.658,55.119,331.006,4
24.292,63.989,1.094,540.295,486.438,53.857,328.564,4
24.434,63.91,1.088,540.897,488.761,52.136,317.578,4
24.57,63.84,1.081,540.402,490.448,49.954,468.945,4
24.691,63.782,1.073,539.243,491.847,47.396,468.945,4
24.786,63.717,1.066,537.776,493.284,44.492,362.744,4
24.848,63.642,1.059,536.102,494.855,41.247,442.09,4
24.866,63.579,1.052,534.643,496.908,37.735,459.179,4
24.84,63.536,1.048,533.419,499.285,34.134,382.275,4
24.771,63.518,1.046,532.483,501.912,30.571,426.22,4
24.667,63.533,1.045,532.288,505.181,27.107,404.248,4
24.543,63.577,1.047,532.909,509.146,23.763,422.558,4
24.413,63.648,1.051,533.914,513.37,20.544,598.34,4
24.291,63.741,1.058,534.965,517.462,17.503,399.365,4
24.185,63.844,1.066,535.616,520.934,14.682,433.545,4
24.101,63.943,1.073,535.685,523.593,12.092,382.275,4
24.046,64.027,1.081,535.101,525.326,9.775,583.691,4
24.02,64.082,1.089,533.759,525.975,7.784,384.716,4
24.022,64.114,1.096,531.642,525.442,6.2,446.972,4
24.039,64.125,1.101,528.712,523.633,5.079,457.959,4
24.056,64.115,1.106,525.089,520.639,4.45,488.476,4
24.068,64.096,1.109,520.544,516.254,4.29,487.256,4
24.075,64.076,1.113,515.056,510.543,4.513,446.972,4
24.078,64.056,1.117,508.883,503.817,5.066,492.138,4
24.078,64.026,1.121,502.044,496.13,5.914,497.021,4
24.077,63.997,1.124,494.474,487.415,7.059,472.607,4
24.08,63.976,1.128,486.129,477.685,8.444,443.31,4
24.093,63.957,1.131,477.094,467.143,9.951,445.752,4
24.116,63.951,1.134,467.58,456.013,11.567,489.697,4
24.151,63.964,1.137,457.908,444.628,13.28,497.021,4
24.192,63.991,1.139,448.246,433.237,15.009,266.308,4
24.236,64.02,1.139,438.409,421.701,16.708,461.621,4
24.273,64.047,1.138,428.439,410.071,18.368,493.359,4
24.301,64.064,1.135,418.649,398.657,19.992,392.041,4
24.322,64.061,1.131,409.5,387.968,21.532,403.027,4
24.333,64.032,1.125,401.17,378.237,22.933,291.943,4
24.328,63.979,1.118,393.318,369.112,24.206,420.117,4
24.306,63.904,1.109,385.594,360.23,25.364,434.765,4
24.27,63.809,1.099,377.532,351.237,26.295,415.234,4
24.228,63.702,1.09,369.191,342.313,26.878,412.793,4
24.187,63.595,1.082,361.156,334.005,27.151,437.207,4
24.139,63.487,1.075,353.553,326.372,27.181,354.199,4
24.077,63.387,1.069,346.468,319.384,27.084,477.49,4
24.011,63.311,1.065,339.947,313.015,26.932,450.634,4
23.951,63.269,1.063,333.725,306.987,26.738,390.82,4
23.906,63.271,1.063,327.526,301.046,26.48,396.924,4
23.877,63.321,1.064,321.105,294.982,26.123,461.621,4
23.869,63.414,1.067,314.182,288.536,25.646,599.56,4
23.882,63.531,1.071,306.558,281.623,24.935,315.136,4
23.911,63.648,1.076,298.026,274.06,23.966,465.283,4
23.952,63.752,1.081,288.215,265.403,22.812,446.972,4
24.007,63.835,1.086,277.192,255.67,21.522,468.945,4
24.078,63.89,1.092,265.364,245.224,20.14,448.193,4
24.153,63.905,1.096,253.051,234.323,18.728,489.697,4
24.217,63.879,1.101,240.602,223.186,17.416,426.22,4
24.262,63.822,1.104,228.138,211.832,16.306,416.455,4
24.287,63.746,1.108,215.983,200.512,15.471,450.634,4
24.289,63.658,1.111,204.524,189.549,14.975,495.8,4
24.264,63.563,1.114,194.119,179.304,14.815,468.945,4
24.208,63.471,1.117,184.894,169.919,14.975,621.533,4
24.123,63.393,1.12,176.687,161.236,15.451,357.861,4
23.979,63.119,1.25,358.351,318.149,40.202,516.552,5
24.001,63.109,1.251,359.192,317.648,41.544,529.98,5
24.025,63.09,1.25,362.178,319.236,42.942,565.381,5
24.054,63.059,1.249,367.833,323.437,44.396,529.98,5
24.086,63.017,1.247,376.38,330.485,45.895,616.65,5
24.126,62.974,1.245,387.889,340.494,47.395,558.056,5
24.168,62.93,1.243,402.625,353.758,48.867,538.525,5
24.206,62.874,1.241,420.727,370.436,50.291,508.007,5
24.235,62.806,1.24,442.415,390.873,51.542,551.953,5
24.25,62.739,1.238,467.124,414.605,52.519,603.222,5
24.248,62.685,1.238,493.842,440.618,53.224,529.98,5
24.226,62.653,1.238,522.016,468.337,53.679,581.25,5
24.193,62.635,1.238,551.321,497.468,53.853,538.525,5
24.158,62.616,1.239,580.883,527.187,53.696,533.642,5
24.128,62.597,1.239,609.854,556.634,53.22,521.435,5
24.105,62.583,1.24,637.949,585.487,52.462,566.601,5
24.09,62.577,1.24,665.144,613.697,51.447,589.795,5
24.087,62.575,1.24,690.811,640.658,50.153,501.904,5
24.098,62.57,1.24,713.915,665.284,48.631,531.201,5
24.12,62.57,1.239,733.648,686.628,47.02,592.236,5
24.149,62.577,1.238,749.598,704.138,45.46,600.781,5
24.189,62.585,1.238,762.242,718.203,44.039,606.884,5
24.233,62.595,1.238,771.503,728.786,42.717,488.476,5
24.271,62.606,1.239,776.761,735.319,41.442,526.318,5
24.3,62.615,1.24,777.537,737.319,40.218,522.656,5
24.314,62.62,1.24,773.588,734.551,39.037,464.062,5
24.316,62.629,1.239,765.479,727.536,37.943,523.877,5
24.309,62.648,1.237,754.37,717.363,37.007,450.634,5
24.297,62.682,1.234,741.249,705.009,36.24,544.629,5
24.282,62.729,1.231,726.762,691.132,35.63,614.209,5
24.271,62.779,1.227,711.268,676.107,35.161,567.822,5
24.267,62.816,1.222,695.151,660.306,34.845,470.166,5
24.266,62.834,1.218,679.222,644.522,34.7,576.367,5
24.269,62.839,1.215,663.663,628.931,34.732,600.781,5
24.28,62.833,1.213,648.083,613.156,34.927,580.029,5
24.305,62.807,1.213,632.851,597.605,35.246,525.097,5
24.34,62.754,1.215,618.336,582.71,35.626,605.664,5
24.383,62.676,1.218,604.646,568.621,36.025,562.939,5
24.433,62.587,1.223,591.765,555.308,36.457,567.822,5
24.487,62.494,1.229,579.457,542.499,36.958,604.443,5
24.541,62.403,1.236,568.025,530.462,37.563,593.457,5
24.59,62.323,1.242,557.559,519.313,38.246,614.209,5
24.625,62.262,1.249,548.138,509.198,38.94,516.552,5
24.646,62.229,1.254,540.216,500.574,39.642,501.904,5
24.651,62.232,1.258,534.388,494.006,40.382,603.222,5
24.635,62.268,1.26,530.623,489.459,41.164,578.808,5
24.592,62.325,1.261,528.192,486.232,41.96,564.16,5
24.523,62.383,1.262,526.96,484.195,42.765,560.498,5
24.439,62.423,1.262,527.081,483.425,43.656,606.884,5
24.349,62.437,1.262,528.93,484.306,44.624,514.111,5
24.251,62.425,1.261,532.516,486.912,45.604,569.043,5
24.154,62.395,1.259,537.618,491.043,46.575,516.552,5
24.071,62.351,1.257,544.228,496.7,47.528,581.25,5
24.01,62.293,1.256,552.687,504.249,48.438,713.086,5
23.969,62.223,1.255,562.909,513.61,49.299,603.222,5
23.946,62.145,1.255,574.251,524.155,50.096,532.422,5
23.946,62.069,1.257,586.359,535.558,50.801,628.857,5
23.967,62.008,1.259,598.897,547.474,51.423,508.007,5
24.006,61.969,1.261,611.647,559.714,51.933,593.457,5
24.062,61.946,1.264,624.7,572.461,52.239,550.732,5
24.127,61.936,1.266,638.113,585.85,52.263,576.367,5
24.189,61.943,1.267,651.375,599.332,52.043,426.22,5
24.242,61.964,1.267,664.121,612.44,51.681,570.263,5
24.282,61.984,1.265,676.38,625.166,51.214,486.035,5
24.311,62.004,1.262,688.152,637.528,50.624,459.179,5
24.334,62.03,1.256,699.764,649.88,49.884,539.746,5
24.354,62.058,1.249,711.441,662.443,48.998,490.918,5
24.372,62.091,1.241,722.893,674.887,48.006,550.732,5
24.384,62.139,1.232,733.7,686.766,46.934,623.974,5
24.394,62.195,1.224,743.725,697.954,45.771,525.097,5
24.408,62.253,1.217,753.277,708.765,44.512,508.007,5
24.428,62.307,1.212,762.164,718.909,43.255,612.988,5
24.447,62.346,1.21,769.673,727.549,42.124,599.56,5
24.46,62.371,1.21,775.733,734.598,41.135,543.408,5
24.467,62.382,1.213,780.858,740.556,40.302,603.222,5
24.468,62.381,1.217,785.017,745.325,39.692,614.209,5
24.46,62.369,1.223,787.739,748.354,39.385,526.318,5
24.444,62.346,1.231,788.469,749.051,39.418,565.381,5
24.418,62.313,1.238,786.924,747.154,39.77,771.679,5
24.375,62.282,1.247,782.942,742.576,40.366,532.422,5
24.321,62.264,1.255,775.823,734.611,41.212,677.685,5
24.268,62.272,1.263,765.321,722.956,42.365,537.304,5
24.232,62.311,1.269,751.639,707.853,43.786,625.195,5
24.22,62.384,1.275,734.834,689.427,45.407,534.863,5
24.229,62.476,1.28,715.157,667.955,47.202,583.691,5
24.256,62.564,1.283,693.11,643.976,49.134,432.324,5
24.3,62.641,1.284,669.096,617.963,51.133,580.029,5
24.358,62.698,1.284,643.164,590.073,53.091,468.945,5
24.423,62.736,1.28,615.155,560.231,54.924,566.601,5
24.485,62.761,1.275,585.356,528.744,56.612,560.498,5
24.53,62.771,1.268,554.865,496.799,58.066,527.539,5
24.55,62.77,1.26,524.45,465.275,59.175,544.629,5
24.546,62.76,1.252,494.492,434.593,59.899,521.435,5
24.514,62.741,1.245,465.216,404.976,60.24,800.976,5
24.456,62.72,1.239,437.264,377.074,60.19,468.945,5
24.376,62.705,1.235,411.839,352.097,59.742,529.98,5
24.279,62.694,1.232,389.321,330.412,58.909,498.242,5
24.174,62.682,1.232,370.287,312.56,57.727,545.849,5
24.077,62.666,1.233,355.753,299.467,56.286,556.836,5
23.997,62.651,1.234,346.018,291.356,54.662,588.574,5
23.946,62.632,1.237,340.765,287.868,52.897,674.023,5
23.926,62.626,1.24,339.729,288.742,50.987,498.242,5
23.931,62.646,1.243,342.917,293.972,48.945,531.201,5
23.955,62.684,1.245,350.325,303.426,46.899,610.547,5
23.991,62.733,1.247,361.839,316.848,44.991,536.084,5
24.033,62.787,1.248,376.658,333.321,43.337,565.381,5
24.072,62.842,1.248,393.895,351.878,42.017,509.228,5
24.097,62.888,1.249,413.049,371.948,41.101,616.65,5
24.106,62.894,1.249,433.833,393.192,40.641,525.097,5
24.105,62.854,1.249,455.885,415.265,40.62,561.718,5
24.1,62.774,1.249,478.656,437.645,41.011,567.822,5
24.095,62.653,1.249,501.919,460.191,41.728,573.925,5
24.093,62.501,1.249,525.686,482.983,42.703,598.34,5
24.092,62.33,1.25,549.399,505.466,43.933,560.498,5
24.094,62.146,1.25,572.211,526.836,45.375,549.511,5
24.099,61.952,1.25,593.67,546.711,46.959,725.293,5
24.109,61.778,1.251,613.687,565.046,48.641,545.849,5
24.125,61.64,1.253,632.648,582.309,50.339,538.525,5
24.148,61.53,1.256,650.711,598.764,51.947,455.517,5
24.176,61.458,1.258,668.013,614.565,53.448,605.664,5
24.201,61.429,1.26,684.958,630.192,54.766,548.291,5
24.218,61.419,1.261,701.754,645.934,55.82,564.16,5
24.228,61.402,1.261,718.265,661.655,56.61,608.105,5
24.234,61.377,1.261,733.862,676.748,57.114,549.511,5
24.244,61.346,1.259,747.532,690.281,57.251,495.8,5
24.26,61.317,1.257,758.935,701.994,56.941,511.67,5
24.28,61.31,1.254,768.472,712.315,56.157,467.724,5
