Temp [C],Umid. Relativa,Vazão [m3/min],Pres. Total [Pa],Pres. Estatica [Pa],Pres. Dinâmica [Pa],Pres. Placa o. [Pa],Teste
24.568,67.275,0.768,88.746,75.055,13.691,279.736,2
24.453,67.337,0.77,88.39,77.035,11.355,202.832,2
24.338,67.376,0.773,87.487,78.532,8.955,210.156,2
24.229,67.397,0.777,86.041,79.441,6.6,276.074,2
24.128,67.409,0.783,83.911,79.527,4.384,276.074,2
24.034,67.415,0.789,80.796,78.4,2.396,288.281,2
23.951,67.418,0.795,76.801,76.041,0.76,288.281,2
23.889,67.424,0.802,72.388,72.82,-0.432,252.881,2
23.857,67.436,0.809,67.835,69.046,-1.211,226.025,2
23.898,67.505,0.821,58.051,60.086,-2.035,210.156,2
23.967,67.569,0.824,52.481,54.642,-2.161,224.804,2
24.047,67.648,0.825,46.546,48.66,-2.114,250.439,2
24.118,67.756,0.824,40.443,42.275,-1.832,277.295,2
24.168,67.895,0.821,34.289,35.586,-1.297,288.281,2
24.184,68.04,0.819,28.465,28.97,-0.505,206.494,2
24.173,68.182,0.815,22.99,22.428,0.562,196.728,2
24.15,68.321,0.812,17.597,15.699,1.898,177.197,2
24.121,68.448,0.807,12.338,8.891,3.447,289.502,2
24.092,68.554,0.804,7.558,2.397,5.161,173.535,2
24.066,68.631,0.8,3.696,-3.307,7.003,261.425,2
24.041,68.68,0.797,1.06,-7.919,8.979,260.205,2
24.024,68.696,0.796,-0.225,-11.293,11.068,233.349,2
24.023,68.667,0.796,-0.259,-13.471,13.212,185.742,2
24.042,68.584,0.796,1.004,-14.33,15.334,199.17,2
24.142,68.268,0.795,7.558,-11.657,19.215,211.377,2
24.217,68.05,0.791,13.186,-7.683,20.869,188.183,2
24.299,67.815,0.786,20.59,-1.728,22.318,265.088,2
24.382,67.581,0.781,29.622,6.07,23.552,188.183,2
24.447,67.362,0.775,40.019,15.491,24.528,255.322,2
24.474,67.176,0.771,51.527,26.274,25.253,257.763,2
24.461,67.035,0.769,63.568,37.871,25.697,197.949,2
24.415,66.93,0.768,75.547,49.678,25.869,205.273,2
24.344,66.859,0.767,87.237,61.408,25.829,193.066,2
24.258,66.828,0.767,98.477,72.858,25.619,202.832,2
24.159,66.832,0.767,109.032,83.739,25.293,262.646,2
24.048,66.864,0.768,118.69,93.774,24.916,273.633,2
23.933,66.926,0.771,127.657,103.048,24.609,226.025,2
23.824,67.005,0.775,136.085,111.645,24.44,205.273,2
23.736,67.086,0.779,144.021,119.673,24.348,224.804,2
23.681,67.154,0.784,151.361,127.059,24.302,398.144,2
23.665,67.203,0.789,158.038,133.75,24.288,226.025,2
23.693,67.235,0.795,164.259,139.987,24.272,299.267,2
23.76,67.253,0.801,170.194,145.99,24.204,190.625,2
23.858,67.264,0.806,176.076,152.064,24.012,194.287,2
23.979,67.281,0.812,181.753,158.14,23.613,168.652,2
24.107,67.315,0.815,186.754,163.767,22.987,216.259,2
24.227,67.362,0.818,191.052,168.871,22.181,199.17,2
24.325,67.418,0.818,194.811,173.495,21.316,241.894,2
24.544,67.754,0.786,206.238,188.568,17.67,243.115,2
24.552,67.855,0.771,208.415,191.813,16.602,139.355,2
24.539,67.941,0.756,210.439,194.982,15.457,194.287,2
24.514,67.995,0.741,212.266,198.035,14.231,300.488,2
24.483,68.008,0.728,213.877,200.919,12.958,164.99,2
24.401,67.903,0.709,217.061,206.662,10.399,224.804,2
24.351,67.792,0.704,218.575,209.461,9.114,189.404,2
24.294,67.658,0.703,219.687,211.911,7.776,226.025,2
24.231,67.518,0.704,220.33,213.935,6.395,265.088,2
24.163,67.395,0.708,220.695,215.683,5.012,169.873,2
24.092,67.308,0.713,220.901,217.324,3.577,118.603,2
24.022,67.267,0.718,221.309,219.213,2.096,202.832,2
23.959,67.267,0.723,221.896,221.252,0.644,318.799,2
23.916,67.299,0.729,222.353,223.098,-0.745,208.935,2
23.899,67.374,0.734,222.529,224.645,-2.116,201.611,2
23.908,67.5,0.739,222.278,225.764,-3.486,233.349,2
23.941,67.66,0.744,221.287,226.073,-4.786,279.736,2
23.996,67.843,0.75,219.423,225.315,-5.892,340.771,2
24.07,68.04,0.757,216.927,223.64,-6.713,219.922,2
24.155,68.229,0.765,214.239,221.506,-7.267,289.502,2
24.242,68.388,0.775,211.687,219.21,-7.523,169.873,2
24.326,68.502,0.785,209.391,216.843,-7.452,168.652,2
24.4,68.546,0.794,207.65,214.787,-7.137,232.129,2
24.454,68.501,0.801,206.557,213.156,-6.599,290.722,2
24.541,67.915,0.823,204.55,208.212,-3.662,238.232,2
24.556,67.623,0.831,204.398,206.565,-2.167,233.349,2
24.565,67.315,0.839,204.832,205.231,-0.399,240.674,2
24.565,67.031,0.845,205.524,203.908,1.616,258.984,2
24.54,66.656,0.858,206.354,199.845,6.509,261.425,2
24.514,66.621,0.864,205.875,196.384,9.491,230.908,2
24.47,66.705,0.869,204.801,191.997,12.804,206.494,2
24.408,66.879,0.872,203.035,186.612,16.423,287.06,2
24.336,67.101,0.874,200.366,180.085,20.281,218.701,2
24.256,67.358,0.874,196.672,172.398,24.274,263.867,2
24.178,67.62,0.872,191.998,163.682,28.316,268.75,2
24.116,67.858,0.868,186.512,154.22,32.292,229.687,2
